Date,Vehicule,Kilometrage,Description,Cout,Facture
2025-04-22,Citroen c5,220700,"EMBRAYAGE ,volant moteur + courroie distribution pompe a eau + liquide refroidissement + vidange boite + CHANGER TRINGLERIE LEVIER VITESSE + CHANGER ALTERNATEUR DEBRAYABLE",0.0,
2025-02-01,Citroen c5,220614,filtre gazoile + filtre air + vidange 5w40 + filtre huile,0.0,
2025-01-01,BMW,216080,vidange boite,0.0,
2025-01-01,BMW,216080,vidange pont,0.0,
2025-01-01,BMW,216078,changement teton pneu avant droite,0.0,
2024-01-01,BMW,216078,VIDANGE( 5w40 ll01 shell helix ultra) + FILTRE A HUILE + filtre a essence bosh + durite essence,0.0,
2024-01-01,BMW,215740,Filtre habitacle + REPARER CAPOTE + Changement capteur niveau d'eau + changement liquide refroidissement + Baie de par brise + join poigné de porte + CHANGER BOUGIE,0.0,
2023-01-01,BMW,215735,durite d'admission (10 euro) + 2 verrein de capot( 20 euro) + plaquette avant (20 euro) + moteur lave glace(5euro) + bouchon roue (5euro) + filtre a air (10euro) + FERMETURE COFFRE + Verin couvre capote 25 euro,95.0,
2023-01-01,BMW,215735,vitre arriere 136 euro + resistance de chauffage habitacle + Filtre a air + Par brise,136.0,
2023-01-01,Citroen c5,215000,filtre a carburant janvier + courroie accesoire 1740,0.0,
2022-01-01,Citroen c5,215000,capteur map decembre + filtre a air + debit metre occaz + vidange moteur + plaquette avant et arriere + 4 bougies prechauffage + 2 pneu avant + courroie accesoire 1755mm,0.0,
2026-01-01,Twingo,222129,controle,0.0,
2026-01-01,Twingo,222129,janvier 2026,0.0,
2025-01-01,Twingo,222129,CHANGER COURROIE accesoire,0.0,
2025-01-01,Twingo,222129,CHANGER COURROIE DISTRIBUTION,0.0,
2024-01-01,Twingo,219000,Vidange moteur + Filtre huil + filtre essence + filtre air + vidange boite + essuie glace av/ar + retro + antenne +Bougie,0.0,
2024-04-01,kangoo,0,vidange + filtre a huile + 5w30 + filtre a gazoile + capteur vitesse,0.0,
2026-01-24,Peugeot 307,0,,0.0,factures/20260124_CV.pdf
2020-01-01,Peugeot 307,200000,embrayage,0.0,
2023-01-01,Peugeot 307,204359,conduite dhuile de turbo + a,0.0,
2023-01-01,Peugeot 307,204359,Filtre gazoile + filtre a air + capteur pompe hp + capteur entre d'air + vidange + filtre a huile + alternateur + remplacement jauge huile + remplacement rotule direction avant gauche + remplacement feu stop arriere gauche,0.0,
2024-01-01,Peugeot 307,218000,Courroie distribution + pompe a eau + galet + supression fap + egr,0.0,
2024-01-01,Peugeot 307,219000,filtre a air janvier,0.0,
2024-01-01,Peugeot 307,223000,vidange filtre a huile 15w40,0.0,
2024-01-01,Peugeot 307,226000,filtre a gazoile,0.0,
2024-01-01,Peugeot 307,230000,cache culbuteur + fusible direction,0.0,
2025-04-01,Peugeot 307,241359,courroie acesoir 1090  alternateur,0.0,
2025-04-01,Peugeot 307,242000,"turbo ( bcp plus puissante), join injecteur sauf le 1 sortait pas.",0.0,
2025-06-01,Peugeot 307,242900,"reparation et changemznt capeur vilebrequin, courroie accesoir, + courroie accesoir , réparation fil direction",0.0,
2025-08-01,Peugeot 307,245879,vidange 5w40 et filtre a huile et filtre a air,0.0,
2025-01-01,Peugeot 307,248000,Filtre a gazoile,0.0,
2025-11-01,Peugeot 307,248995,changement bsm car plus de ventilation remarche 100euro,100.0,
2026-01-24,Peugeot 307,254000,reparation pot,100.0,factures\20260124_191644_Formulaire_certificat-medical_cerfa_15695-01.pdf
2026-01-24,Peugeot 307,254000,reparation pot,100.0,factures\20260124_191647_Formulaire_certificat-medical_cerfa_15695-01.pdf
2026-01-24,LAtitude,200000,vidange,0.0,
2025-02-01,LAtitude,204091,filtre a air + vidange 5w40 + filtre a huile + filtre a gazoile,0.0,
2024-02-01,LAtitude,200000,filtre a air,0.0,
2023-01-01,LAtitude,200000,essuie glace avant + vidange 5w30 + filtre a huile + disque avant + plaquette avant + changement liquide de frein + 2 pneu avant + 2 pneu arriere,0.0,
2019-01-01,LAtitude,200000,filtre a gazoil,0.0,
